"RSS" "Df" "AIC" "BIC" "AICc" "Lambda"
"41" 1.07078435065228 169 399.842490684793 1204.68632747923 462.366973818634 0.04537
"42" 1.07257986921979 181 425.308484284491 1287.44300771522 496.999452728452 0.04331
"43" 1.07503238773211 206 477.306940592591 1458.79706118226 570.107811104016 0.04134
"44" 1.07895861779236 219 506.496791523875 1550.05182263619 611.349892720828 0.03946
"45" 1.08304717753776 237 545.806212848854 1675.29727391561 668.561381510443 0.03767
"46" 1.08620497802848 258 590.353705886054 1820.10346856632 735.776992066686 0.03596
"47" 1.08899087525391 285 646.595031789132 2005.24883940105 823.983497512744 0.03432
"48" 1.09195042808131 293 664.969795667075 2061.81739436986 852.438783697543 0.03276
"49" 1.09453945758556 299 679.041977102576 2104.5349191235 874.254164262532 0.03127
"50" 1.0969102556654 326 734.935197938633 2289.33218489121 966.930845381505 0.02985
"51" 1.09904854315576 334 752.639239149619 2345.23001719306 996.143047637106 0.0285
"52" 1.10155224171674 359 804.630274689705 2516.57664989209 1085.89251625663 0.0272
"53" 1.10354068783021 371 830.208340446096 2599.44540228477 1130.56089757341 0.02596
"54" 1.10498644996032 390 869.353938363288 2729.30125404276 1201.21465653521 0.02478
"55" 1.10695652743321 407 904.912584551016 2846.02170629857 1266.2966977175 0.02366
"56" 1.10984937339233 411 915.196268160955 2875.40228545393 1283.70986990198 0.02258
"57" 1.11259179195584 440 975.355711118036 3074.01422111539 1397.64080360987 0.02156
"58" 1.11548685189055 446 989.629579570096 3116.93343288559 1423.49682657771 0.02058
"59" 1.11990657513858 456 1013.08960842632 3188.13570060539 1466.60865086375 0.01964
"60" 1.1245504410683 476 1056.710429371 3327.24099927722 1550.83882980625 0.01875
"61" 1.12837354814982 490 1087.68010071665 3425.04980503188 1611.27096034668 0.0179
"62" 1.13127031726151 505 1119.92352889578 3528.90659150638 1676.02799026684 0.01708
"63" 1.13262049793624 520 1150.96722607634 3631.5636469823 1740.56461454207 0.01631
"64" 1.13323275724636 530 1171.44009598367 3699.7787557532 1783.91017215342 0.01557
"65" 1.13448400501826 551 1214.40568562849 3843.00304701153 1876.32516332163 0.01486
"66" 1.13544542160669 569 1251.14688890584 3965.68028024332 1956.97931545644 0.01418
"67" 1.13645928993037 581 1275.92785021782 4047.75192819159 2011.81903628964 0.01354
"68" 1.13770348616146 609 1332.88527668023 4238.38762347201 2141.35100029285 0.01292
"69" 1.13987731059457 623 1362.55555503809 4334.89703623888 2208.58819921654 0.01234
"70" 1.1413444332348 634 1385.68103307692 4410.53897702765 2261.82902001925 0.01177
"71" 1.14155962966616 642 1401.84599566213 4464.89773070372 2300.22684441077 0.01124
"72" 1.14157120259647 650 1417.85486621293 4519.10039234538 2338.74714042403 0.01073
"73" 1.14211615597135 650 1418.27246646831 4519.51799260076 2339.16474067941 0.01024
"74" 1.14236491577128 666 1450.46302600369 4628.09613431786 2417.21384210815 0.009776
